evaluation,AUC,AUPRC,ACC,F1,Precision,Recall,MCC,Brier,LogLoss
Similarity-grouped development OOF,0.9846287454865924,0.9853541548361047,0.9330895795246801,0.9324972334931759,0.9349112426035503,0.9300956585724798,0.8661810800760744,0.04842666613144634,0.16057601196319896
Released independent test,0.9828508771929825,0.9837982793861633,0.9403973509933775,0.9403973509933775,0.9342105263157895,0.9466666666666667,0.8808771929824561,0.04914230916632188,0.16980167054760278
