fold,AUC,AUPRC,ACC,F1,Precision,Recall,MCC,Brier,LogLoss
1,0.986216577540107,0.9875861251969165,0.9341864716636198,0.9345454545454546,0.9244604316546763,0.9448529411764706,0.8685938210526852,0.04496964813048827,0.15017267955102429
2,0.9902360400682011,0.9899371967312456,0.9507299270072993,0.9506398537477148,0.9454545454545454,0.9558823529411765,0.9015165139964103,0.03894789827435907,0.13294452513610466
3,0.9781550802139037,0.9793101554598971,0.9122486288848263,0.9090909090909091,0.9375,0.8823529411764706,0.8258510315485432,0.06531995357231914,0.21406180998971175
4,0.9807715531700771,0.9805582976071611,0.9230769230769231,0.9239130434782609,0.9074733096085409,0.940959409594096,0.8467548844213747,0.05664253599621446,0.18202814671866985
5,0.9920588235294118,0.9926255790170012,0.9451553930530164,0.9438202247191011,0.9618320610687023,0.9264705882352942,0.8908814502193417,0.0362856431988816,0.12376263081825858
