fold,Local chemistry score,Contextual sequence score,Intercept
1,0.09444442285833857,0.28449615794086724,0.26114539907791806
2,0.11147115098159227,0.269993528282214,0.2764735171299303
3,0.12349114727185469,0.3138890891589534,0.268182975176034
4,0.09024168846603517,0.32126204160844557,0.2545769172638499
5,0.09378882824040255,0.28508917578844156,0.23475771098747902
