dataset,protocol,evaluation,model,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP
AOPP,identity60_coverage80,external test,Equal logit mean,606,414,192,0.7777211654589372,0.9068232131535076,0.7013201320132013,0.7534722222222223,0.7365356622998545,0.9267399267399268,0.6111111111111112,0.6111111111111112,0.8958333333333334,0.47403205732635634,0.2741994248628743,2.0217782812519753,172,20,161,253
AOPP,identity60_coverage80,external test,Cross-fitted logistic fusion,606,414,192,0.78299240136876,0.9093666809163081,0.7062706270627063,0.7584918478260869,0.7412790697674418,0.9306569343065694,0.6159420289855072,0.6159420289855072,0.9010416666666666,0.4832627360963334,0.23362039203897897,0.7965332333609839,173,19,159,255
AnOxPP,exact_overlap_only,training grouped OOF,Length LR,1794,884,910,0.49379506240365967,0.510965412553986,0.5072463768115942,0.50379767291532,0.34711964549483015,0.5,0.2658371040723982,0.2658371040723982,0.7417582417582418,0.008635777814299365,0.24975924444459396,0.6926498955712441,675,235,649,235
AnOxPP,exact_overlap_only,training grouped OOF,AAC plus DPC plus length RF,1794,884,910,0.9302713689025905,0.9468651316322266,0.8784838350055741,0.877634130575307,0.8691476590636255,0.9258312020460358,0.8190045248868778,0.8190045248868778,0.9362637362637363,0.7614728625009228,0.10628657079152787,0.3570947742726851,852,58,160,724
AnOxPP,exact_overlap_only,training grouped OOF,Molecular ECFP4 branch,1794,884,910,0.9215131022823331,0.9380984991855806,0.8545150501672241,0.8540562378797673,0.8478134110787172,0.8748495788206979,0.8223981900452488,0.8223981900452488,0.8857142857142857,0.7099625150169077,0.12532168851681444,0.7089542477097,806,104,157,727
AnOxPP,exact_overlap_only,training grouped OOF,Contextual peptide-adapted ESM-2 branch,1794,884,910,0.8565946496941972,0.8750282496227636,0.7887402452619844,0.7886877828054298,0.7855121675155631,0.7859569648924122,0.7850678733031674,0.7850678733031674,0.7923076923076923,0.5773852552910749,0.18108415495166952,0.9507185058648269,721,189,190,694
AnOxPP,exact_overlap_only,training grouped OOF,Equal probability mean,1794,884,910,0.9119424692954106,0.9301018050523185,0.8539576365663322,0.8534744667097608,0.8469626168224299,0.8756038647342995,0.8201357466063348,0.8201357466063348,0.8868131868131868,0.7089753581214013,0.11730776626066866,0.5060121494936219,807,103,159,725
AnOxPP,exact_overlap_only,training grouped OOF,Equal logit mean,1794,884,910,0.9188205459698673,0.9366984934972348,0.8539576365663322,0.8534744667097608,0.8469626168224299,0.8756038647342995,0.8201357466063348,0.8201357466063348,0.8868131868131868,0.7089753581214013,0.12154106398139183,0.5948473625661311,807,103,159,725
AnOxPP,exact_overlap_only,external test,Length LR,424,212,212,0.47361160555357773,0.4802673012777038,0.4882075471698113,0.48820754716981135,0.2332155477031802,0.4647887323943662,0.15566037735849056,0.15566037735849056,0.8207547169811321,-0.03158300705185018,0.2509349015357246,0.6950187863327933,174,38,179,33
AnOxPP,exact_overlap_only,external test,AAC plus DPC plus length RF,424,212,212,0.9898651655393378,0.9918012110260531,0.9599056603773585,0.9599056603773585,0.9588377723970944,0.9850746268656716,0.9339622641509434,0.9339622641509434,0.9858490566037735,0.92105200253809,0.06470414150943868,0.24837153957328542,209,3,14,198
AnOxPP,exact_overlap_only,external test,Molecular ECFP4 branch,424,212,212,0.9806203275186899,0.9843191478405029,0.9363207547169812,0.9363207547169812,0.9370629370629371,0.9262672811059908,0.9481132075471698,0.9481132075471698,0.9245283018867925,0.8728843131819439,0.05553650684944915,0.2197496379708603,196,16,11,201
AnOxPP,exact_overlap_only,external test,Contextual peptide-adapted ESM-2 branch,424,212,212,0.9210795656817373,0.930281254865138,0.8325471698113207,0.8325471698113207,0.8367816091954023,0.8161434977578476,0.8584905660377359,0.8584905660377359,0.8066037735849056,0.6659914479890805,0.13754866095492926,0.6273728931678326,171,41,30,182
