evaluation,model,metric,estimate,ci_low,ci_high,bootstrap_reps,bootstrap_unit,bootstrap
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Learned convex probability mean,ACC,0.9239380968060587,0.9147184721764899,0.9331577214356273,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Learned convex probability mean,F1,0.9233830845771144,0.9141801460049233,0.9328270199100159,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Learned convex probability mean,MCC,0.8478700137355099,0.8294514871429098,0.8663474792082156,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Learned convex probability mean,Brier,0.059940300567630875,0.053328564963529265,0.06671591278843451,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Learned convex probability mean,LogLoss,0.2446403140455489,0.21077809676525222,0.28058527718788495,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Nested logistic fusion,AUC,0.981489769931892,0.9778154589045136,0.9847912308001902,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Nested logistic fusion,AUPRC,0.9820162227449378,0.9784914239114965,0.9852564436592818,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Nested logistic fusion,ACC,0.9242673691142574,0.9150477444846888,0.9334869937438262,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Nested logistic fusion,F1,0.9238914626075446,0.9146622734761121,0.9332007449872605,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Nested logistic fusion,MCC,0.8485342500572912,0.8301061508743207,0.867008150496628,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Nested logistic fusion,Brier,0.05398247403092008,0.048293317141583324,0.05992329461696521,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Nested logistic fusion,LogLoss,0.17737650861150042,0.16075572449902098,0.19506285407667,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Feature concatenation LR,AUC,0.9821914932742116,0.9786664394089217,0.9854362156034128,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Feature concatenation LR,AUPRC,0.9827841703170052,0.9793528251234861,0.9859284632124359,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Feature concatenation LR,ACC,0.9295357260454395,0.9208017780704643,0.9384260783668094,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Feature concatenation LR,F1,0.9296515450361604,0.9210521617269014,0.9384420648536711,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Feature concatenation LR,MCC,0.859187177069074,0.84182611115473,0.8769186339079299,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Feature concatenation LR,Brier,0.055578790163766746,0.048946985379592904,0.06246307179346565,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Feature concatenation LR,LogLoss,0.21382251769721647,0.18507119478539094,0.24442280409283418,2500,peptide,class-stratified percentile
