model,eligible_peptides,total_unique_shuffles,original_auc_same_eligible_peptides,shuffled_mean_auc,auc_drop,original_mcc,shuffled_mean_mcc,pearson_probability_correlation,mean_absolute_probability_change,mean_change_positive,mean_change_negative
Molecular ECFP4 branch,301,2719,0.9700194277640409,0.9455581066760862,0.024461321087954735,0.8213869123183466,0.722986514916483,0.8969076111012771,0.09075289224791777,-0.06340630294744953,0.05270633152921301
Contextual peptide-adapted ESM-2 branch,301,2719,0.9790709996467679,0.9278523489932886,0.0512186506534793,0.8742657988179927,0.6050771917181966,0.7534198153249395,0.201213876974531,-0.0380541807674265,0.27794515619542043
Frozen-coefficient logistic fusion,301,2719,0.9827357824090427,0.9430413281525963,0.039694454256446354,0.8804803752676724,0.6568782841106812,0.8435585684323091,0.15450933518328255,-0.03845111640289243,0.20981532767753422
Equal probability mean,301,2719,0.9813228541151536,0.9444542564464854,0.036868597668668235,0.8604610119222961,0.7290133834423356,0.8737985178094829,0.13778252897743887,-0.05073024185743803,0.16532574386231672
Equal logit mean,301,2719,0.9828682444365948,0.9457347227128223,0.03713352172377249,0.8604610119222961,0.722070283811947,0.8639940472433395,0.11901727522504309,-0.06252040885899486,0.11793146206379636
