analysis,metric,estimate,ci_low,ci_high,bootstrap_reps,bootstrap,dataset,protocol,model
AnOxPP | identity60_coverage80 | AAC plus DPC plus length RF,ACC,0.9410377358490566,0.9198113207547169,0.9622641509433962,2500,class-stratified percentile,AnOxPP,identity60_coverage80,AAC plus DPC plus length RF
AnOxPP | identity60_coverage80 | AAC plus DPC plus length RF,Balanced_ACC,0.9410377358490566,0.9198113207547169,0.9622641509433962,2500,class-stratified percentile,AnOxPP,identity60_coverage80,AAC plus DPC plus length RF
AnOxPP | identity60_coverage80 | AAC plus DPC plus length RF,F1,0.9388753056234719,0.914572864321608,0.9611650485436893,2500,class-stratified percentile,AnOxPP,identity60_coverage80,AAC plus DPC plus length RF
AnOxPP | identity60_coverage80 | AAC plus DPC plus length RF,Precision,0.9746192893401016,0.9522477670433831,0.9947916666666666,2500,class-stratified percentile,AnOxPP,identity60_coverage80,AAC plus DPC plus length RF
AnOxPP | identity60_coverage80 | AAC plus DPC plus length RF,Recall,0.9056603773584906,0.8679245283018868,0.9433962264150944,2500,class-stratified percentile,AnOxPP,identity60_coverage80,AAC plus DPC plus length RF
AnOxPP | identity60_coverage80 | AAC plus DPC plus length RF,Sensitivity,0.9056603773584906,0.8679245283018868,0.9433962264150944,2500,class-stratified percentile,AnOxPP,identity60_coverage80,AAC plus DPC plus length RF
AnOxPP | identity60_coverage80 | AAC plus DPC plus length RF,Specificity,0.9764150943396226,0.9528301886792453,0.9952830188679245,2500,class-stratified percentile,AnOxPP,identity60_coverage80,AAC plus DPC plus length RF
AnOxPP | identity60_coverage80 | AAC plus DPC plus length RF,MCC,0.8842917328464673,0.8426655111037623,0.9251872672604673,2500,class-stratified percentile,AnOxPP,identity60_coverage80,AAC plus DPC plus length RF
AnOxPP | identity60_coverage80 | AAC plus DPC plus length RF,Brier,0.07325885849056604,0.06434620518867926,0.08298549009433964,2500,class-stratified percentile,AnOxPP,identity60_coverage80,AAC plus DPC plus length RF
AnOxPP | identity60_coverage80 | AAC plus DPC plus length RF,LogLoss,0.27215106102914455,0.24948821175206928,0.2963909649007276,2500,class-stratified percentile,AnOxPP,identity60_coverage80,AAC plus DPC plus length RF
AnOxPP | identity60_coverage80 | Molecular ECFP4 branch,AUC,0.9807315770736917,0.9695949403702386,0.9895764729441082,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Molecular ECFP4 branch
AnOxPP | identity60_coverage80 | Molecular ECFP4 branch,AUPRC,0.9830500240815745,0.9737888279219087,0.9905201423233974,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Molecular ECFP4 branch
AnOxPP | identity60_coverage80 | Molecular ECFP4 branch,ACC,0.9268867924528302,0.9009433962264151,0.9504716981132075,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Molecular ECFP4 branch
AnOxPP | identity60_coverage80 | Molecular ECFP4 branch,Balanced_ACC,0.9268867924528301,0.9009433962264151,0.9504716981132075,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Molecular ECFP4 branch
AnOxPP | identity60_coverage80 | Molecular ECFP4 branch,F1,0.927400468384075,0.9014084507042254,0.9507097396335583,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Molecular ECFP4 branch
AnOxPP | identity60_coverage80 | Molecular ECFP4 branch,Precision,0.9209302325581395,0.8878923766816144,0.9524994357932747,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Molecular ECFP4 branch
AnOxPP | identity60_coverage80 | Molecular ECFP4 branch,Recall,0.9339622641509434,0.9009433962264151,0.9622641509433962,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Molecular ECFP4 branch
AnOxPP | identity60_coverage80 | Molecular ECFP4 branch,Sensitivity,0.9339622641509434,0.9009433962264151,0.9622641509433962,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Molecular ECFP4 branch
AnOxPP | identity60_coverage80 | Molecular ECFP4 branch,Specificity,0.9198113207547169,0.8820754716981132,0.9528301886792453,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Molecular ECFP4 branch
AnOxPP | identity60_coverage80 | Molecular ECFP4 branch,MCC,0.8538590814845946,0.8022081398901819,0.9010336163732461,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Molecular ECFP4 branch
AnOxPP | identity60_coverage80 | Molecular ECFP4 branch,Brier,0.061561309265719066,0.04245341434315437,0.08216918348134353,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Molecular ECFP4 branch
AnOxPP | identity60_coverage80 | Molecular ECFP4 branch,LogLoss,0.23933860120772463,0.15998007826879695,0.33034256082528957,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Molecular ECFP4 branch
AnOxPP | identity60_coverage80 | Contextual peptide-adapted ESM-2 branch,AUC,0.9053488786044855,0.8746768200427197,0.9334327162691349,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Contextual peptide-adapted ESM-2 branch
AnOxPP | identity60_coverage80 | Contextual peptide-adapted ESM-2 branch,AUPRC,0.9121207631558901,0.8831481765273428,0.9380595341810108,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Contextual peptide-adapted ESM-2 branch
AnOxPP | identity60_coverage80 | Contextual peptide-adapted ESM-2 branch,ACC,0.8231132075471698,0.785377358490566,0.8561320754716981,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Contextual peptide-adapted ESM-2 branch
AnOxPP | identity60_coverage80 | Contextual peptide-adapted ESM-2 branch,Balanced_ACC,0.8231132075471699,0.7853773584905661,0.8561320754716981,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Contextual peptide-adapted ESM-2 branch
AnOxPP | identity60_coverage80 | Contextual peptide-adapted ESM-2 branch,F1,0.8299319727891157,0.7949566382844528,0.8623024830699775,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Contextual peptide-adapted ESM-2 branch
AnOxPP | identity60_coverage80 | Contextual peptide-adapted ESM-2 branch,Precision,0.7991266375545851,0.7583287024173382,0.8411214953271028,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Contextual peptide-adapted ESM-2 branch
AnOxPP | identity60_coverage80 | Contextual peptide-adapted ESM-2 branch,Recall,0.8632075471698113,0.8160377358490566,0.9056603773584906,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Contextual peptide-adapted ESM-2 branch
AnOxPP | identity60_coverage80 | Contextual peptide-adapted ESM-2 branch,Sensitivity,0.8632075471698113,0.8160377358490566,0.9056603773584906,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Contextual peptide-adapted ESM-2 branch
AnOxPP | identity60_coverage80 | Contextual peptide-adapted ESM-2 branch,Specificity,0.7830188679245284,0.7264150943396226,0.8349056603773585,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Contextual peptide-adapted ESM-2 branch
AnOxPP | identity60_coverage80 | Contextual peptide-adapted ESM-2 branch,MCC,0.6483141794941011,0.5747597161901641,0.7157845221798329,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Contextual peptide-adapted ESM-2 branch
AnOxPP | identity60_coverage80 | Contextual peptide-adapted ESM-2 branch,Brier,0.1408787524995674,0.11233827792221708,0.17108604823671167,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Contextual peptide-adapted ESM-2 branch
AnOxPP | identity60_coverage80 | Contextual peptide-adapted ESM-2 branch,LogLoss,0.7382621926424939,0.5477469385462402,0.9472495708088122,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Contextual peptide-adapted ESM-2 branch
AnOxPP | identity60_coverage80 | Equal probability mean,AUC,0.9684718761124954,0.9527400765396938,0.9823897516909933,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal probability mean
AnOxPP | identity60_coverage80 | Equal probability mean,AUPRC,0.9731387122163888,0.9602061730868194,0.9847517597252954,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal probability mean
AnOxPP | identity60_coverage80 | Equal probability mean,ACC,0.9292452830188679,0.9033018867924528,0.9528301886792453,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal probability mean
AnOxPP | identity60_coverage80 | Equal probability mean,Balanced_ACC,0.9292452830188679,0.9033018867924528,0.9528301886792453,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal probability mean
AnOxPP | identity60_coverage80 | Equal probability mean,F1,0.9299065420560748,0.9047619047619048,0.9530516431924883,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal probability mean
AnOxPP | identity60_coverage80 | Equal probability mean,Precision,0.9212962962962963,0.8876272573021452,0.95260663507109,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal probability mean
AnOxPP | identity60_coverage80 | Equal probability mean,Recall,0.9386792452830188,0.9056603773584906,0.9694575471698117,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal probability mean
AnOxPP | identity60_coverage80 | Equal probability mean,Sensitivity,0.9386792452830188,0.9056603773584906,0.9694575471698117,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal probability mean
AnOxPP | identity60_coverage80 | Equal probability mean,Specificity,0.9198113207547169,0.8820754716981132,0.9528301886792453,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal probability mean
AnOxPP | identity60_coverage80 | Equal probability mean,MCC,0.8586434175596518,0.8071805241618006,0.9058216273156766,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal probability mean
AnOxPP | identity60_coverage80 | Equal probability mean,Brier,0.06964966048354819,0.05324174142787381,0.08695873276426248,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal probability mean
AnOxPP | identity60_coverage80 | Equal probability mean,LogLoss,0.2529906567242981,0.18681497332897717,0.3269559814114631,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal probability mean
AnOxPP | identity60_coverage80 | Equal logit mean,AUC,0.9711641153435387,0.9561337442150232,0.9847855108579566,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal logit mean
AnOxPP | identity60_coverage80 | Equal logit mean,AUPRC,0.9766965097571699,0.965105544256825,0.98705271398757,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal logit mean
AnOxPP | identity60_coverage80 | Equal logit mean,ACC,0.9292452830188679,0.9033018867924528,0.9528301886792453,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal logit mean
AnOxPP | identity60_coverage80 | Equal logit mean,Balanced_ACC,0.9292452830188679,0.9033018867924528,0.9528301886792453,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal logit mean
AnOxPP | identity60_coverage80 | Equal logit mean,F1,0.9299065420560748,0.9047619047619048,0.9530516431924883,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal logit mean
AnOxPP | identity60_coverage80 | Equal logit mean,Precision,0.9212962962962963,0.8876272573021452,0.95260663507109,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal logit mean
AnOxPP | identity60_coverage80 | Equal logit mean,Recall,0.9386792452830188,0.9056603773584906,0.9694575471698117,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal logit mean
AnOxPP | identity60_coverage80 | Equal logit mean,Sensitivity,0.9386792452830188,0.9056603773584906,0.9694575471698117,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal logit mean
AnOxPP | identity60_coverage80 | Equal logit mean,Specificity,0.9198113207547169,0.8820754716981132,0.9528301886792453,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal logit mean
AnOxPP | identity60_coverage80 | Equal logit mean,MCC,0.8586434175596518,0.8071805241618006,0.9058216273156766,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal logit mean
AnOxPP | identity60_coverage80 | Equal logit mean,Brier,0.06324631961288454,0.04356765262015465,0.08416413655764562,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal logit mean
AnOxPP | identity60_coverage80 | Equal logit mean,LogLoss,0.2836742215897235,0.1831350068243444,0.39129473877316606,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Equal logit mean
AnOxPP | identity60_coverage80 | Cross-fitted logistic fusion,AUC,0.980442328230687,0.9690948736205055,0.9901327207191171,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Cross-fitted logistic fusion
AnOxPP | identity60_coverage80 | Cross-fitted logistic fusion,AUPRC,0.9836214548874004,0.9748675634834794,0.9914166152376542,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Cross-fitted logistic fusion
AnOxPP | identity60_coverage80 | Cross-fitted logistic fusion,ACC,0.9292452830188679,0.9056603773584906,0.9528301886792453,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Cross-fitted logistic fusion
AnOxPP | identity60_coverage80 | Cross-fitted logistic fusion,Balanced_ACC,0.929245283018868,0.9056603773584906,0.9528301886792452,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Cross-fitted logistic fusion
AnOxPP | identity60_coverage80 | Cross-fitted logistic fusion,F1,0.9308755760368663,0.9074272636067219,0.9532710280373832,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Cross-fitted logistic fusion
AnOxPP | identity60_coverage80 | Cross-fitted logistic fusion,Precision,0.9099099099099099,0.8755364806866953,0.943127962085308,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Cross-fitted logistic fusion
AnOxPP | identity60_coverage80 | Cross-fitted logistic fusion,Recall,0.9528301886792453,0.9245283018867925,0.9811320754716981,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Cross-fitted logistic fusion
AnOxPP | identity60_coverage80 | Cross-fitted logistic fusion,Sensitivity,0.9528301886792453,0.9245283018867925,0.9811320754716981,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Cross-fitted logistic fusion
AnOxPP | identity60_coverage80 | Cross-fitted logistic fusion,Specificity,0.9056603773584906,0.8632075471698113,0.9433962264150944,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Cross-fitted logistic fusion
AnOxPP | identity60_coverage80 | Cross-fitted logistic fusion,MCC,0.8594472296946094,0.8118990304530631,0.9058216273156766,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Cross-fitted logistic fusion
AnOxPP | identity60_coverage80 | Cross-fitted logistic fusion,Brier,0.059194572589718414,0.04765743148992989,0.07162850710791452,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Cross-fitted logistic fusion
AnOxPP | identity60_coverage80 | Cross-fitted logistic fusion,LogLoss,0.21382351393081148,0.1840752806419222,0.24549135429878705,2500,class-stratified percentile,AnOxPP,identity60_coverage80,Cross-fitted logistic fusion
