model,eligible_peptides,total_unique_shuffles,original_auc_same_eligible_peptides,shuffled_mean_auc,auc_drop,original_mcc,shuffled_mean_mcc,pearson_probability_correlation,mean_absolute_probability_change,mean_change_positive,mean_change_negative,auc_drop_ci_low,auc_drop_ci_high
Molecular ECFP4 branch,301,2719,0.9700194277640408,0.9455581066760862,0.0244613210879547,0.8213869123183466,0.722986514916483,0.8969076111012771,0.0907528922479177,-0.0634063029474495,0.052706331529213,0.010662089367714688,0.04048922642175923
Contextual peptide-adapted ESM-2 branch,301,2719,0.979070999646768,0.9278523489932886,0.0512186506534793,0.8742657988179927,0.6050771917181966,0.7534198153249395,0.201213876974531,-0.0380541807674265,0.2779451561954204,0.029051130342635036,0.07572633345107736
Frozen-coefficient logistic fusion,301,2719,0.9827357824090428,0.9430413281525964,0.0396944542564463,0.8804803752676724,0.6568782841106812,0.8435585684323091,0.1545093351832825,-0.0384511164028924,0.2098153276775342,0.02238608265630526,0.06000529848110204
Equal probability mean,301,2719,0.9813228541151536,0.9444542564464854,0.0368685976686682,0.8604610119222961,0.7290133834423356,0.8737985178094829,0.1377825289774388,-0.050730241857438,0.1653257438623167,0.02019935535146595,0.05660985517484987
Equal logit mean,301,2719,0.9828682444365948,0.9457347227128224,0.0371335217237724,0.8604610119222961,0.722070283811947,0.8639940472433395,0.119017275225043,-0.0625204088589948,0.1179314620637963,0.020929000353232027,0.05612195337336627
