evaluation,model,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP,learned_local_weight,nested_local_coefficient,nested_context_coefficient,nested_intercept
untouched released test after overlap-weighted full-development training,Molecular branch,302,150,152,0.9682456140350877,0.9726061609645636,0.9039735099337748,0.903859649122807,0.9016949152542373,0.9172413793103448,0.8866666666666667,0.8866666666666667,0.9210526315789473,0.808339972917336,0.07965344046938778,0.42595326979837145,140,12,17,133,0.28363075561957557,0.008111608369422067,0.25576288459872476,0.47209576479799403
untouched released test after overlap-weighted full-development training,Contextual branch,302,150,152,0.9762719298245615,0.9753029037070337,0.9205298013245033,0.9207456140350878,0.9225806451612903,0.89375,0.9533333333333334,0.9533333333333334,0.8881578947368421,0.8429714248659903,0.06480933847968587,0.2909891989492199,135,17,7,143,0.28363075561957557,0.008111608369422067,0.25576288459872476,0.47209576479799403
untouched released test after overlap-weighted full-development training,Equal probability mean,302,150,152,0.9806578947368422,0.9828766163248345,0.9337748344370861,0.9337280701754386,0.9328859060402684,0.9391891891891891,0.9266666666666666,0.9266666666666666,0.9407894736842105,0.8676083656991318,0.054802062608923355,0.20514719671274773,143,9,11,139,0.28363075561957557,0.008111608369422067,0.25576288459872476,0.47209576479799403
untouched released test after overlap-weighted full-development training,Equal logit mean,302,150,152,0.9819736842105263,0.9837049238739483,0.9337748344370861,0.9337280701754386,0.9328859060402684,0.9391891891891891,0.9266666666666666,0.9266666666666666,0.9407894736842105,0.8676083656991318,0.05590315683977779,0.25169510037261444,143,9,11,139,0.28363075561957557,0.008111608369422067,0.25576288459872476,0.47209576479799403
untouched released test after overlap-weighted full-development training,Learned convex probability mean,302,150,152,0.9814912280701755,0.9835761855527725,0.9304635761589404,0.9306140350877193,0.9315960912052117,0.910828025477707,0.9533333333333334,0.9533333333333334,0.9078947368421053,0.8618898625219813,0.05485411575533884,0.20630104105592653,138,14,7,143,0.28363075561957557,0.008111608369422067,0.25576288459872476,0.47209576479799403
untouched released test after overlap-weighted full-development training,Nested logistic fusion,302,150,152,0.9776315789473684,0.976806534834942,0.8874172185430463,0.8879824561403509,0.8957055214723927,0.8295454545454546,0.9733333333333334,0.9733333333333334,0.8026315789473685,0.7868064305343142,0.07182061280792812,0.2430234368982352,122,30,4,146,0.28363075561957557,0.008111608369422067,0.25576288459872476,0.47209576479799403
