seed,fold,model,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP
42,1,Molecular branch,545,282,263,0.9713480570611871,0.9754272214882274,0.9119266055045872,0.912331796240865,0.9136690647482014,0.927007299270073,0.900709219858156,0.900709219858156,0.9239543726235742,0.8241747844035803,0.07678887593626181,0.4522707755016626,243,20,28,254
42,1,Contextual branch,545,282,263,0.9786155381171966,0.9807241718766762,0.9229357798165138,0.9227139120351644,0.9257950530035336,0.9225352112676056,0.9290780141843972,0.9290780141843972,0.9163498098859315,0.8456673075046485,0.06340356975707645,0.32031848845669825,241,22,20,262
42,1,Equal probability mean,545,282,263,0.982256020278834,0.984644109915511,0.9339449541284404,0.9342488471806487,0.9354838709677419,0.9456521739130435,0.925531914893617,0.925531914893617,0.9429657794676806,0.8680413570007427,0.05268100233705926,0.20979245091964607,248,15,21,261
42,1,Equal logit mean,545,282,263,0.9849526737318987,0.9864351714049806,0.9339449541284404,0.9342488471806487,0.9354838709677419,0.9456521739130435,0.925531914893617,0.925531914893617,0.9429657794676806,0.8680413570007427,0.0551949289970307,0.2628344947084041,248,15,21,261
42,1,Learned convex probability mean,545,282,263,0.9824582692878138,0.9847117145557494,0.9247706422018349,0.9247431437585956,0.9271758436944938,0.9288256227758007,0.925531914893617,0.925531914893617,0.9239543726235742,0.8493832216214141,0.0541389715479544,0.2092346007579693,243,20,21,261
42,1,Nested logistic fusion,545,282,263,0.9842245772995711,0.9857948038182103,0.9357798165137615,0.9357657147479977,0.9378330373001776,0.9395017793594306,0.9361702127659575,0.9361702127659575,0.935361216730038,0.8714256889221936,0.04906949391339536,0.16551553336976968,246,17,18,264
42,1,Feature concatenation LR,545,282,263,0.9834290645309172,0.984536028922004,0.926605504587156,0.9258757382088827,0.9303135888501742,0.9143835616438356,0.9468085106382979,0.9468085106382979,0.9049429657794676,0.8534216128326692,0.054311383660922675,0.20457726890707711,238,25,15,267
42,2,Molecular branch,556,267,289,0.9532807174422975,0.9571981474700018,0.8848920863309353,0.882003032541503,0.8709677419354839,0.9432314410480349,0.8089887640449438,0.8089887640449438,0.9550173010380623,0.7755498904032888,0.10208395530141984,0.7043208038364731,276,13,51,216
42,2,Contextual branch,556,267,289,0.9802625610720164,0.979737118502826,0.9190647482014388,0.9174410015162708,0.9122807017543859,0.9512195121951219,0.8764044943820225,0.8764044943820225,0.9584775086505191,0.8398104047095455,0.07049370991429972,0.3159140007444263,277,12,33,234
42,2,Equal probability mean,556,267,289,0.9738734885890906,0.9750306370235806,0.9190647482014388,0.9167282246672628,0.9105367793240556,0.9703389830508474,0.8576779026217228,0.8576779026217228,0.9757785467128027,0.84247393437777,0.06987888183352231,0.32173757027268507,282,7,38,229
42,2,Equal logit mean,556,267,289,0.9778261602063165,0.9781088207466636,0.9190647482014388,0.9167282246672628,0.9105367793240556,0.9703389830508474,0.8576779026217228,0.8576779026217228,0.9757785467128027,0.84247393437777,0.06991204594627233,0.4043054191128504,282,7,38,229
42,2,Learned convex probability mean,556,267,289,0.9754156784987623,0.9763492431242125,0.9154676258992805,0.9134105724246077,0.9072978303747534,0.9583333333333334,0.8614232209737828,0.8614232209737828,0.9653979238754326,0.8340017549342359,0.06636082341390896,0.3046460167195186,279,10,37,230
42,2,Nested logistic fusion,556,267,289,0.9810660549745345,0.9810350540203203,0.9298561151079137,0.9279641797234426,0.9233791748526523,0.9710743801652892,0.8801498127340824,0.8801498127340824,0.9757785467128027,0.8625205697686613,0.05616156425360307,0.1890882587502727,282,7,32,235
42,2,Feature concatenation LR,556,267,289,0.9833728600495055,0.9839566942240098,0.935251798561151,0.933724712621334,0.9299610894941635,0.9676113360323887,0.8951310861423221,0.8951310861423221,0.972318339100346,0.8722098749074163,0.05386095086236059,0.23272507329751038,281,8,28,239
