scheme,feature,positive_mean,negative_mean,standardized_mean_difference,absolute_smd
unweighted,length,6.613333333333333,13.723684210526315,-1.7673294374699868,1.7673294374699868
overlap_weighted,length,10.592305817319343,10.64240433167394,-0.013511165170730732,0.013511165170730732
unweighted,AAC_A,0.05299143721202544,0.07164597638592464,-0.21228913079895367,0.21228913079895367
overlap_weighted,AAC_A,0.0665528343039942,0.06658049760599506,-0.0003307301839791102,0.0003307301839791102
unweighted,AAC_C,0.015344537815126048,0.023677825239052222,-0.12552895155535113,0.12552895155535113
overlap_weighted,AAC_C,0.011829805164096535,0.01246287022530056,-0.01296385740696104,0.01296385740696104
unweighted,AAC_D,0.040906943818708526,0.05419121983989794,-0.15255525660507788,0.15255525660507788
overlap_weighted,AAC_D,0.054670008018756974,0.05592984756706293,-0.014022895205499394,0.014022895205499394
unweighted,AAC_E,0.044998440013145895,0.039195105522046615,0.07468931418974195,0.07468931418974195
overlap_weighted,AAC_E,0.051048248821253375,0.051037893753730815,0.00013382296706927752,0.00013382296706927752
unweighted,AAC_F,0.042267548899901836,0.06321991714538969,-0.26288075323791676,0.26288075323791676
overlap_weighted,AAC_F,0.05342314722288961,0.054590811858995635,-0.015434305356841085,0.015434305356841085
unweighted,AAC_G,0.07945728128081067,0.09247201818694405,-0.11787995131400267,0.11787995131400267
overlap_weighted,AAC_G,0.0966106826716414,0.09611052567915712,0.0046723056863640965,0.0046723056863640965
unweighted,AAC_H,0.07202264946382594,0.020522092829409106,0.4550864400578612,0.4550864400578612
overlap_weighted,AAC_H,0.02438535213263255,0.022831657927935463,0.028137120573719993,0.028137120573719993
unweighted,AAC_I,0.04534448122683417,0.04792374853072262,-0.031769991725687986,0.031769991725687986
overlap_weighted,AAC_I,0.043365726787311466,0.042977921399258344,0.0058825016746283446,0.0058825016746283446
unweighted,AAC_K,0.04742433383609854,0.051429667627015674,-0.043254011797484844,0.043254011797484844
overlap_weighted,AAC_K,0.044747128400464006,0.04380257337021042,0.011339760200555162,0.011339760200555162
unweighted,AAC_L,0.07470290983526277,0.09232676768219379,-0.15321414507153813,0.15321414507153813
overlap_weighted,AAC_L,0.07868571414836088,0.07905179012728146,-0.0033618736087124355,0.0033618736087124355
unweighted,AAC_M,0.017441607412195647,0.021382712184661427,-0.07134225230813754,0.07134225230813754
overlap_weighted,AAC_M,0.01699212613720998,0.017002586328118168,-0.0002204174272119301,0.0002204174272119301
unweighted,AAC_N,0.03050665619783267,0.039726121882254765,-0.12659671786078908,0.12659671786078908
overlap_weighted,AAC_N,0.02997113003470431,0.030098130384020844,-0.002125637023830935,0.002125637023830935
unweighted,AAC_P,0.11191045392515982,0.08541819210992871,0.21323050916784073,0.21323050916784073
overlap_weighted,AAC_P,0.11992053218764435,0.11966468787532131,0.0020842083265706023,0.0020842083265706023
unweighted,AAC_Q,0.04651889287183405,0.03558675193711652,0.14815586088179244,0.14815586088179244
overlap_weighted,AAC_Q,0.05548616214407884,0.05531453705051178,0.0023476563822041534,0.0023476563822041534
unweighted,AAC_R,0.04497618666736314,0.05869237288701196,-0.1790403573434279,0.1790403573434279
overlap_weighted,AAC_R,0.05941693310104998,0.05985504023501324,-0.0060467925624581205,0.0060467925624581205
unweighted,AAC_S,0.03158863141216082,0.056084637168635855,-0.37177985927413,0.37177985927413
overlap_weighted,AAC_S,0.051768483089526814,0.05227134060909782,-0.006995867164920222,0.006995867164920222
unweighted,AAC_T,0.02495772092830916,0.03836294433008015,-0.18891229086305164,0.18891229086305164
overlap_weighted,AAC_T,0.027894408363374888,0.028682148246557997,-0.01232845890558966,0.01232845890558966
unweighted,AAC_V,0.041346747479100415,0.057588231212100785,-0.208749879987843,0.208749879987843
overlap_weighted,AAC_V,0.051126696799935124,0.05107984104854767,0.0005931963573032783,0.0005931963573032783
unweighted,AAC_W,0.03892411836529483,0.017107251770462618,0.2858290695098736,0.2858290695098736
overlap_weighted,AAC_W,0.02818479209973189,0.028684301513513668,-0.0075761346657164065,0.0075761346657164065
unweighted,AAC_Y,0.09636842133900958,0.03344644552915084,0.4719760352822837,0.4719760352822837
overlap_weighted,AAC_Y,0.033920088371342826,0.031970997194369535,0.029398342795628387,0.029398342795628387
unweighted,charge_pH7,-0.2536380095582808,0.04015660251369339,-0.18156949849847095,0.18156949849847095
overlap_weighted,charge_pH7,-0.2870363952629152,-0.26427853916368776,-0.014733075782414848,0.014733075782414848
unweighted,gravy_hydrophobicity,-0.6551584034157564,-0.21089646870191622,-0.38617605807676264,0.38617605807676264
overlap_weighted,gravy_hydrophobicity,-0.5098348953654903,-0.5012568683944174,-0.007611364344871313,0.007611364344871313
unweighted,molecular_weight,762.7874693333334,1536.4248401315788,-1.838913152893325,1.838913152893325
overlap_weighted,molecular_weight,1168.6226391488565,1202.5223062128791,-0.09007357349330095,0.09007357349330095
