evaluation,replicate,metric,value
Similarity-grouped development OOF,14,LogLoss,0.16049533264787516
Similarity-grouped development OOF,14,ECE_equal_width_10,0.012843507864411303
Similarity-grouped development OOF,14,ECE_equal_frequency_10,0.015164057517734707
Similarity-grouped development OOF,14,Calibration_intercept,-0.09291671369048178
Similarity-grouped development OOF,14,Calibration_slope,0.9804566607574111
Similarity-grouped development OOF,15,Brier,0.04698313087856994
Similarity-grouped development OOF,15,LogLoss,0.15618788337607295
Similarity-grouped development OOF,15,ECE_equal_width_10,0.008572704152878715
Similarity-grouped development OOF,15,ECE_equal_frequency_10,0.008373068435235087
Similarity-grouped development OOF,15,Calibration_intercept,0.03537014369692432
Similarity-grouped development OOF,15,Calibration_slope,1.0511545783578886
Similarity-grouped development OOF,16,Brier,0.05087537855820009
Similarity-grouped development OOF,16,LogLoss,0.17074838784458493
Similarity-grouped development OOF,16,ECE_equal_width_10,0.017811854070398734
Similarity-grouped development OOF,16,ECE_equal_frequency_10,0.008744277562542292
Similarity-grouped development OOF,16,Calibration_intercept,0.12745564275541335
Similarity-grouped development OOF,16,Calibration_slope,0.9949408903549176
Similarity-grouped development OOF,17,Brier,0.04529000686176071
Similarity-grouped development OOF,17,LogLoss,0.14710833344969163
Similarity-grouped development OOF,17,ECE_equal_width_10,0.014104404101105467
Similarity-grouped development OOF,17,ECE_equal_frequency_10,0.007605891673757405
Similarity-grouped development OOF,17,Calibration_intercept,-0.04329513802418033
Similarity-grouped development OOF,17,Calibration_slope,1.0876297785022806
Similarity-grouped development OOF,18,Brier,0.04836734980656749
Similarity-grouped development OOF,18,LogLoss,0.16203177794102896
Similarity-grouped development OOF,18,ECE_equal_width_10,0.009131633452429143
Similarity-grouped development OOF,18,ECE_equal_frequency_10,0.007944715885677274
Similarity-grouped development OOF,18,Calibration_intercept,0.020522074672303516
Similarity-grouped development OOF,18,Calibration_slope,0.9871465388942425
Similarity-grouped development OOF,19,Brier,0.048204887205346145
Similarity-grouped development OOF,19,LogLoss,0.1610549569938483
Similarity-grouped development OOF,19,ECE_equal_width_10,0.01391321764455555
Similarity-grouped development OOF,19,ECE_equal_frequency_10,0.009199079573020701
Similarity-grouped development OOF,19,Calibration_intercept,0.0004735588123215447
Similarity-grouped development OOF,19,Calibration_slope,1.025896516517591
Similarity-grouped development OOF,20,Brier,0.05141897621138043
Similarity-grouped development OOF,20,LogLoss,0.17204044722506137
Similarity-grouped development OOF,20,ECE_equal_width_10,0.012116673386588218
Similarity-grouped development OOF,20,ECE_equal_frequency_10,0.012811427604562687
Similarity-grouped development OOF,20,Calibration_intercept,-0.02099716257960938
Similarity-grouped development OOF,20,Calibration_slope,0.9717715972844582
Similarity-grouped development OOF,21,Brier,0.05344474695589677
Similarity-grouped development OOF,21,LogLoss,0.17254366444858646
Similarity-grouped development OOF,21,ECE_equal_width_10,0.014049905112272377
Similarity-grouped development OOF,21,ECE_equal_frequency_10,0.010032569773171105
Similarity-grouped development OOF,21,Calibration_intercept,0.10157239652269266
Similarity-grouped development OOF,21,Calibration_slope,1.0150875134086774
Similarity-grouped development OOF,22,Brier,0.052258709178226094
Similarity-grouped development OOF,22,LogLoss,0.17211397300321277
Similarity-grouped development OOF,22,ECE_equal_width_10,0.014372237576137285
Similarity-grouped development OOF,22,ECE_equal_frequency_10,0.009938846598174112
Similarity-grouped development OOF,22,Calibration_intercept,0.040427097164300194
Similarity-grouped development OOF,22,Calibration_slope,0.9833228278495618
Similarity-grouped development OOF,23,Brier,0.05186602318852137
Similarity-grouped development OOF,23,LogLoss,0.16697479757842185
Similarity-grouped development OOF,23,ECE_equal_width_10,0.02119175164504771
Similarity-grouped development OOF,23,ECE_equal_frequency_10,0.01572872511071837
Similarity-grouped development OOF,23,Calibration_intercept,0.211507399228433
Similarity-grouped development OOF,23,Calibration_slope,1.014696455057611
Similarity-grouped development OOF,24,Brier,0.04499364345161731
Similarity-grouped development OOF,24,LogLoss,0.1508332884703387
Similarity-grouped development OOF,24,ECE_equal_width_10,0.009074716179483154
Similarity-grouped development OOF,24,ECE_equal_frequency_10,0.007112003764215288
Similarity-grouped development OOF,24,Calibration_intercept,-0.08613515865626253
Similarity-grouped development OOF,24,Calibration_slope,1.0532888939203893
Similarity-grouped development OOF,25,Brier,0.05030224395428528
Similarity-grouped development OOF,25,LogLoss,0.16893355380653732
