seed,learned_local_weight,nested_local_coefficient,nested_context_coefficient,nested_intercept,fold
42,0.31596390065720426,0.12263385363857217,0.26762304904250594,0.3213157537679034,
42,0.23025919448424548,0.08955339060185181,0.32168016465091204,0.16371763822916657,1.0
42,0.32500185709950996,0.1265381236337818,0.2660871532723497,0.2901732116161164,2.0
42,0.24406174522916455,0.1109695775142691,0.3047090939293758,0.3245515358423716,3.0
42,0.22112640613926532,0.08094679160482131,0.32783445099229425,0.21532424257163738,4.0
42,0.2725668874388295,0.10858061429084566,0.3060919780830148,0.35962385334721414,5.0
43,0.3113189832020512,0.11702822362423417,0.26642332145522335,0.3387799670836607,
43,0.25650938680463636,0.10004781247112433,0.2881086478473987,0.2844735868306455,1.0
43,0.3178677623457193,0.12943708046530011,0.2854922643400536,0.21207121149375197,2.0
43,0.2671599632258752,0.11187783977205244,0.28832337486894216,0.30469769481911024,3.0
43,0.2730847410911686,0.09479911567923087,0.28921839415527617,0.21032352873857993,4.0
43,0.22246911402388056,0.08110419043773857,0.3129605233421561,0.24502226440963024,5.0
44,0.3026139790358719,0.12063908639182563,0.26922912311687797,0.2920177137262489,
44,0.27477436790419363,0.10496247585319597,0.297884470521853,0.246273976506992,1.0
44,0.227004910221273,0.09258244061080978,0.31127414841199436,0.22411628044366622,2.0
44,0.26719235005239983,0.11447869461347794,0.3131988999955724,0.20835354710429943,3.0
44,0.30213625734669336,0.09677392928594365,0.29081161949223017,0.21885877516213828,4.0
44,0.3081933336358467,0.10746252378484253,0.2822979520810053,0.3112330024972538,5.0
45,0.28248861543853715,0.10180720377776452,0.2868570703526663,0.234010934016314,
45,0.2653565976455811,0.10500065396462514,0.311792054015552,0.21035566149086962,1.0
45,0.27268600951004573,0.09074561413334574,0.2886790164106752,0.17044933301423115,2.0
45,0.22356589664088752,0.08254841448847186,0.3198457971527806,0.20722893541577006,3.0
45,0.2660349269195292,0.10475493664807506,0.28986425226924806,0.2509759030385186,4.0
45,0.2583130674474362,0.0981992618255124,0.29700972839846507,0.3035481535156218,5.0
46,0.3175167970587332,0.1184361180457572,0.2732134616343462,0.28052494876611533,
46,0.2765977149453389,0.10353774751296731,0.29891919872662526,0.2475071684872724,1.0
46,0.28836710806564786,0.10803374677621268,0.2751027426470377,0.27998645841680103,2.0
46,0.27161050733265085,0.11394380341581488,0.3222338706332563,0.2292558291285048,3.0
46,0.24784460351733273,0.09932990973455323,0.30107502577698725,0.26004755847275635,4.0
46,0.2670959056889594,0.09524786080035677,0.3074683242370388,0.2206565650804225,5.0
