evaluation,model,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP
immutable released-test benchmark,AnOxFuse,302,150,152,0.9828508771929825,0.9837982793861633,0.9403973509933775,0.9404385964912281,0.9403973509933775,0.9342105263157895,0.9466666666666667,0.9466666666666667,0.9342105263157895,0.8808771929824561,0.04914230916632188,0.16980167054760278,142,10,8,142
immutable released-test benchmark,Molecular ECFP4 branch,302,150,152,0.9702192982456139,0.9737496894481643,0.9105960264900662,0.910438596491228,0.9078498293515358,0.9300699300699301,0.8866666666666667,0.8866666666666667,0.9342105263157895,0.8220136553424212,0.07505326173087254,0.4647399099776098,142,10,17,133
immutable released-test benchmark,Contextual peptide-adapted ESM-2 branch,302,150,152,0.9792105263157895,0.9788028941206133,0.9370860927152318,0.9371929824561404,0.9377049180327869,0.9225806451612903,0.9533333333333334,0.9533333333333334,0.9210526315789473,0.8746737338734739,0.0579634883220467,0.31900944461666525,140,12,7,143
