evaluation,model,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP
whole-pool 60% identity / 80% coverage cluster-disjoint OOF,Molecular branch,3037,1509,1528,0.9536138318431471,0.9600196173073977,0.889693776753375,0.8896667985108546,0.8885932823412038,0.8918558077436582,0.8853545394300861,0.8853545394300861,0.893979057591623,0.7793893722516743,0.09743322463083297,0.6232646314893707,1366,162,173,1336
whole-pool 60% identity / 80% coverage cluster-disjoint OOF,Contextual branch,3037,1509,1528,0.9789973076028992,0.9788650538699737,0.9206453737240698,0.9206608082742637,0.9203832177073009,0.9176548089591567,0.9231278992710404,0.9231278992710404,0.9181937172774869,0.8413051974520853,0.06681570961585256,0.3118780809645859,1403,125,116,1393
whole-pool 60% identity / 80% coverage cluster-disjoint OOF,Equal probability mean,3037,1509,1528,0.9756036208577504,0.9775273923235808,0.9239380968060587,0.9238259361804739,0.9220910623946037,0.9388736263736264,0.9058979456593771,0.9058979456593771,0.9417539267015707,0.8483541725359032,0.06246716991986651,0.2545052410235481,1439,89,142,1367
whole-pool 60% identity / 80% coverage cluster-disjoint OOF,Equal logit mean,3037,1509,1528,0.9784799059048849,0.9798885306911467,0.9239380968060587,0.9238259361804739,0.9220910623946037,0.9388736263736264,0.9058979456593771,0.9058979456593771,0.9417539267015707,0.8483541725359032,0.065781203218783,0.32481623462057224,1439,89,142,1367
whole-pool 60% identity / 80% coverage cluster-disjoint OOF,Learned convex probability mean,3037,1509,1528,0.9772924408175728,0.9788439608640872,0.9239380968060587,0.9239289394522915,0.9233830845771144,0.9243027888446215,0.9224652087475149,0.9224652087475149,0.925392670157068,0.8478700137355099,0.05994030056763086,0.24464031404554726,1414,114,117,1392
whole-pool 60% identity / 80% coverage cluster-disjoint OOF,Nested logistic fusion,3037,1509,1528,0.981489769931892,0.9820162227449378,0.9242673691142574,0.9242726451066724,0.9238914626075446,0.9226701916721745,0.925115970841617,0.925115970841617,0.9234293193717278,0.8485342500572912,0.05398247403092008,0.17737650861150042,1411,117,113,1396
whole-pool 60% identity / 80% coverage cluster-disjoint OOF,Feature concatenation LR,3037,1509,1528,0.9821914932742116,0.9827841703170052,0.9295357260454395,0.9295824095566219,0.9296515450361604,0.9223744292237442,0.9370444002650762,0.9370444002650762,0.9221204188481675,0.859187177069074,0.055578790163766746,0.21382251769721608,1409,119,95,1414
