model,metric,estimate,ci_low,ci_high,overall_effective_sample_size,positive_effective_sample_size,negative_effective_sample_size,max_absolute_smd_after_weighting,propensity_model,interpretation
AnOxFuse,AUC,0.9085317364303914,0.8451695108109555,0.9635846776787071,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
AnOxFuse,AUPRC,0.9023266351812848,0.8284559159912909,0.9652950364208434,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
AnOxFuse,ACC,0.8432543752978808,0.7733434596261347,0.9130005158514304,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
AnOxFuse,F1,0.8405648150988988,0.764103398167103,0.9119970002102915,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
AnOxFuse,Precision,0.8552614821751979,0.7691695737264721,0.9401806904582061,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
AnOxFuse,Recall,0.8263647052956994,0.7165972389595885,0.9282643643325702,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
AnOxFuse,MCC,0.686901213626165,0.5490662259579764,0.8259606944379896,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
AnOxFuse,Brier,0.12249032078501908,0.07311868609551862,0.17538302108313206,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
AnOxFuse,LogLoss,0.4184512072167286,0.24473607195696379,0.6219470672055519,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Molecular ECFP4 branch,AUC,0.8512867644061489,0.770493641752116,0.9270487528172476,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Molecular ECFP4 branch,AUPRC,0.8632213622660974,0.7947456309127979,0.9312513587031676,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Molecular ECFP4 branch,ACC,0.7746402356460959,0.6995165832977178,0.8520595089948583,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Molecular ECFP4 branch,F1,0.7569367508307209,0.6699739140834143,0.8436786221951816,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
