model,replicate,metric,value
AnOxFuse,13,F1,0.9213408480655346
AnOxFuse,13,Precision,0.9088539303374314
AnOxFuse,13,Recall,0.934175665955413
AnOxFuse,13,MCC,0.8565637797330018
AnOxFuse,13,Brier,0.07337705670020714
AnOxFuse,13,LogLoss,0.2449891591206109
AnOxFuse,14,AUC,0.8837956287840697
AnOxFuse,14,AUPRC,0.9017486464216875
AnOxFuse,14,ACC,0.7858782014831601
AnOxFuse,14,F1,0.7929919460484594
AnOxFuse,14,Precision,0.860879529905282
AnOxFuse,14,Recall,0.7350287532981407
AnOxFuse,14,MCC,0.5817960625132759
AnOxFuse,14,Brier,0.15002758337068506
AnOxFuse,14,LogLoss,0.5244630321131764
AnOxFuse,15,AUC,0.9205774974733845
AnOxFuse,15,AUPRC,0.9380664730507283
AnOxFuse,15,ACC,0.8564983269044782
AnOxFuse,15,F1,0.8507116927816849
AnOxFuse,15,Precision,0.9118130170246865
AnOxFuse,15,Recall,0.7972849842081038
AnOxFuse,15,MCC,0.7197198291591914
AnOxFuse,15,Brier,0.10849875658677345
AnOxFuse,15,LogLoss,0.3862359428337796
AnOxFuse,16,AUC,0.9654579883355265
AnOxFuse,16,AUPRC,0.9628175618810695
AnOxFuse,16,ACC,0.9100807205827752
AnOxFuse,16,F1,0.9091263874638355
AnOxFuse,16,Precision,0.8702349275275529
AnOxFuse,16,Recall,0.9516566458388858
AnOxFuse,16,MCC,0.8237086801258283
AnOxFuse,16,Brier,0.075513813165694
AnOxFuse,16,LogLoss,0.23838592982177842
AnOxFuse,17,AUC,0.8810185194265162
AnOxFuse,17,AUPRC,0.8824224329478743
AnOxFuse,17,ACC,0.8037304869562085
AnOxFuse,17,F1,0.7896519108928739
AnOxFuse,17,Precision,0.8610808156186562
AnOxFuse,17,Recall,0.729165709109513
AnOxFuse,17,MCC,0.61544964376656
AnOxFuse,17,Brier,0.14899074944391807
AnOxFuse,17,LogLoss,0.46679489949719144
AnOxFuse,18,AUC,0.9290849036433103
AnOxFuse,18,AUPRC,0.9417259886082004
AnOxFuse,18,ACC,0.8429846174657021
AnOxFuse,18,F1,0.8561066239575237
AnOxFuse,18,Precision,0.8445306195783651
AnOxFuse,18,Recall,0.8680043838679946
AnOxFuse,18,MCC,0.6837182430780508
AnOxFuse,18,Brier,0.11700018594825481
AnOxFuse,18,LogLoss,0.35369861536074304
AnOxFuse,19,AUC,0.9464045682012098
AnOxFuse,19,AUPRC,0.9294076612134626
AnOxFuse,19,ACC,0.893153596226398
AnOxFuse,19,F1,0.8970024035147919
AnOxFuse,19,Precision,0.873029155519553
AnOxFuse,19,Recall,0.9223294295459599
AnOxFuse,19,MCC,0.7874626387406809
AnOxFuse,19,Brier,0.07899142055040352
AnOxFuse,19,LogLoss,0.2794186495348527
AnOxFuse,20,AUC,0.9220072674350224
AnOxFuse,20,AUPRC,0.9117821650700814
AnOxFuse,20,ACC,0.9031670342644672
AnOxFuse,20,F1,0.9017487644018379
AnOxFuse,20,Precision,0.904073505451516
AnOxFuse,20,Recall,0.8994359483993871
AnOxFuse,20,MCC,0.8063053111291739
AnOxFuse,20,Brier,0.09341979122234621
AnOxFuse,20,LogLoss,0.35718706850887444
AnOxFuse,21,AUC,0.9146512980285532
AnOxFuse,21,AUPRC,0.9266939828012247
AnOxFuse,21,ACC,0.876614437621117
AnOxFuse,21,F1,0.8766112811980857
AnOxFuse,21,Precision,0.9405560018485403
AnOxFuse,21,Recall,0.8208077738040882
AnOxFuse,21,MCC,0.7613696992075031
AnOxFuse,21,Brier,0.10207074059853105
AnOxFuse,21,LogLoss,0.41942970504365523
AnOxFuse,22,AUC,0.9349642608429322
AnOxFuse,22,AUPRC,0.9582307514674383
AnOxFuse,22,ACC,0.8738844442554737
AnOxFuse,22,F1,0.8797212220320556
AnOxFuse,22,Precision,0.9657817012129226
AnOxFuse,22,Recall,0.8077434754414858
AnOxFuse,22,MCC,0.7626291800433656
AnOxFuse,22,Brier,0.10151101986922507
AnOxFuse,22,LogLoss,0.3751057345094211
AnOxFuse,23,AUC,0.912936223748126
AnOxFuse,23,AUPRC,0.8961073694164994
AnOxFuse,23,ACC,0.8540735084754487
AnOxFuse,23,F1,0.8585352622011397
AnOxFuse,23,Precision,0.890434058128288
AnOxFuse,23,Recall,0.8288429000514022
AnOxFuse,23,MCC,0.7101960764178984
AnOxFuse,23,Brier,0.11071237330759878
AnOxFuse,23,LogLoss,0.37850875904770076
AnOxFuse,24,AUC,0.9468603096829248
AnOxFuse,24,AUPRC,0.9570439216043201
AnOxFuse,24,ACC,0.858944875088304
AnOxFuse,24,F1,0.8599482796083228
AnOxFuse,24,Precision,0.9061913303694573
AnOxFuse,24,Recall,0.8181956583950136
AnOxFuse,24,MCC,0.7224255209919679
AnOxFuse,24,Brier,0.10264215188311729
AnOxFuse,24,LogLoss,0.33414807860581297
AnOxFuse,25,AUC,0.8889761686681341
AnOxFuse,25,AUPRC,0.874411269848113
AnOxFuse,25,ACC,0.8113743062686121
AnOxFuse,25,F1,0.8015499946821131
AnOxFuse,25,Precision,0.8532768490610338
AnOxFuse,25,Recall,0.7557361933741749
AnOxFuse,25,MCC,0.6272479835842317
AnOxFuse,25,Brier,0.1421650418289609
AnOxFuse,25,LogLoss,0.4967557628793863
AnOxFuse,26,AUC,0.9002055930631081
AnOxFuse,26,AUPRC,0.9139980248547284
AnOxFuse,26,ACC,0.8359404162758965
AnOxFuse,26,F1,0.8345640888275047
AnOxFuse,26,Precision,0.8832951944292409
AnOxFuse,26,Recall,0.790928806494036
AnOxFuse,26,MCC,0.6768780817620321
AnOxFuse,26,Brier,0.12911338341547188
AnOxFuse,26,LogLoss,0.48396358146465296
AnOxFuse,27,AUC,0.9148551925955021
AnOxFuse,27,AUPRC,0.9202202272794111
AnOxFuse,27,ACC,0.8556240803805113
AnOxFuse,27,F1,0.8525680785277386
AnOxFuse,27,Precision,0.8373769108050887
AnOxFuse,27,Recall,0.8683206074238689
AnOxFuse,27,MCC,0.7116646815811863
AnOxFuse,27,Brier,0.12249370056147169
AnOxFuse,27,LogLoss,0.4039909670013539
AnOxFuse,28,AUC,0.8625775192406118
AnOxFuse,28,AUPRC,0.8188114766917104
AnOxFuse,28,ACC,0.830366937106483
AnOxFuse,28,F1,0.8248748751041256
AnOxFuse,28,Precision,0.7542786990968758
AnOxFuse,28,Recall,0.9100503913710156
AnOxFuse,28,MCC,0.6741846795595252
AnOxFuse,28,Brier,0.15414609256271075
AnOxFuse,28,LogLoss,0.5885645635006418
AnOxFuse,29,AUC,0.9478662961711417
AnOxFuse,29,AUPRC,0.9689709317110771
AnOxFuse,29,ACC,0.8733352612021472
AnOxFuse,29,F1,0.8854839303928418
AnOxFuse,29,Precision,0.9450249245207285
AnOxFuse,29,Recall,0.8330009698213914
AnOxFuse,29,MCC,0.7524793531370582
AnOxFuse,29,Brier,0.100378450556372
AnOxFuse,29,LogLoss,0.33807458551307606
AnOxFuse,30,AUC,0.8865999514534458
AnOxFuse,30,AUPRC,0.8733807980694863
AnOxFuse,30,ACC,0.8065679968814009
AnOxFuse,30,F1,0.792451479153985
AnOxFuse,30,Precision,0.8309977094280037
AnOxFuse,30,Recall,0.7573226997999205
AnOxFuse,30,MCC,0.6143798489294761
AnOxFuse,30,Brier,0.14553479356989002
AnOxFuse,30,LogLoss,0.47953381386472316
AnOxFuse,31,AUC,0.903641839184661
AnOxFuse,31,AUPRC,0.9111835151224257
AnOxFuse,31,ACC,0.8636059558875776
AnOxFuse,31,F1,0.8641150801136178
AnOxFuse,31,Precision,0.8568352619735842
AnOxFuse,31,Recall,0.8715196593920483
AnOxFuse,31,MCC,0.7273337090861899
AnOxFuse,31,Brier,0.12164931979349099
AnOxFuse,31,LogLoss,0.4210479641615068
AnOxFuse,32,AUC,0.8267409080540596
AnOxFuse,32,AUPRC,0.8234662101907795
AnOxFuse,32,ACC,0.7847516294017198
AnOxFuse,32,F1,0.7865723566758993
AnOxFuse,32,Precision,0.7383253530037506
AnOxFuse,32,Recall,0.841565763464723
AnOxFuse,32,MCC,0.576319276956232
AnOxFuse,32,Brier,0.18666597399921123
AnOxFuse,32,LogLoss,0.6731963847985135
AnOxFuse,33,AUC,0.895963736428364
AnOxFuse,33,AUPRC,0.907533697672211
AnOxFuse,33,ACC,0.8476766682555629
AnOxFuse,33,F1,0.852573973005586
AnOxFuse,33,Precision,0.8763480241386142
AnOxFuse,33,Recall,0.8300557637695699
AnOxFuse,33,MCC,0.696352241345511
AnOxFuse,33,Brier,0.12034926690315688
AnOxFuse,33,LogLoss,0.4632047194059554
AnOxFuse,34,AUC,0.9675237034661549
AnOxFuse,34,AUPRC,0.9716028523408037
AnOxFuse,34,ACC,0.9053898732277854
AnOxFuse,34,F1,0.9065688960766289
AnOxFuse,34,Precision,0.9572167485560222
AnOxFuse,34,Recall,0.8610114197412915
AnOxFuse,34,MCC,0.8159643488341106
AnOxFuse,34,Brier,0.07669974167052811
AnOxFuse,34,LogLoss,0.24682793961846428
AnOxFuse,35,AUC,0.9052259530884628
AnOxFuse,35,AUPRC,0.8713045840663989
AnOxFuse,35,ACC,0.828962212193423
AnOxFuse,35,F1,0.8136540543379102
AnOxFuse,35,Precision,0.8232723300071186
AnOxFuse,35,Recall,0.8042579236328026
AnOxFuse,35,MCC,0.655792970877556
AnOxFuse,35,Brier,0.11865766635476406
AnOxFuse,35,LogLoss,0.4188058445051804
AnOxFuse,36,AUC,0.9736703207234495
AnOxFuse,36,AUPRC,0.9724380494176201
AnOxFuse,36,ACC,0.899809665430994
AnOxFuse,36,F1,0.8960461772782613
AnOxFuse,36,Precision,0.9147949876849019
AnOxFuse,36,Recall,0.8780504496779822
AnOxFuse,36,MCC,0.8000604483371452
AnOxFuse,36,Brier,0.0693466487632262
AnOxFuse,36,LogLoss,0.21786818915352146
AnOxFuse,37,AUC,0.8902998170666282
AnOxFuse,37,AUPRC,0.8620622131231582
AnOxFuse,37,ACC,0.8588387335919476
AnOxFuse,37,F1,0.8567680995400762
AnOxFuse,37,Precision,0.8178288712522975
AnOxFuse,37,Recall,0.8996007253414662
AnOxFuse,37,MCC,0.7214103165692544
AnOxFuse,37,Brier,0.12864947762636317
AnOxFuse,37,LogLoss,0.4665908578052071
AnOxFuse,38,AUC,0.9149977964817726
AnOxFuse,38,AUPRC,0.908607909263615
AnOxFuse,38,ACC,0.8754557490002003
AnOxFuse,38,F1,0.8690279486481006
AnOxFuse,38,Precision,0.8569925780436657
AnOxFuse,38,Recall,0.8814061771968451
AnOxFuse,38,MCC,0.7506237035656558
AnOxFuse,38,Brier,0.11526488664362651
AnOxFuse,38,LogLoss,0.40546106866211895
AnOxFuse,39,AUC,0.9334252732911642
AnOxFuse,39,AUPRC,0.9081739961664823
AnOxFuse,39,ACC,0.8614305388606502
AnOxFuse,39,F1,0.8556805363664357
AnOxFuse,39,Precision,0.8260467571399007
AnOxFuse,39,Recall,0.8875196058019469
AnOxFuse,39,MCC,0.7244724451760547
AnOxFuse,39,Brier,0.1027744883173714
AnOxFuse,39,LogLoss,0.3387017476483971
AnOxFuse,40,AUC,0.8483172695852499
AnOxFuse,40,AUPRC,0.8403617999111412
AnOxFuse,40,ACC,0.7988091302738731
AnOxFuse,40,F1,0.8229594368118228
AnOxFuse,40,Precision,0.8050955397366002
AnOxFuse,40,Recall,0.8416340706547782
AnOxFuse,40,MCC,0.591034080142808
AnOxFuse,40,Brier,0.16080898151221748
AnOxFuse,40,LogLoss,0.556163006367267
AnOxFuse,41,AUC,0.9495059126274576
AnOxFuse,41,AUPRC,0.9520984361507692
AnOxFuse,41,ACC,0.8831722627627757
AnOxFuse,41,F1,0.8896915820668994
AnOxFuse,41,Precision,0.9109618552336084
AnOxFuse,41,Recall,0.8693919352212609
AnOxFuse,41,MCC,0.766612957789386
AnOxFuse,41,Brier,0.08016289608777132
AnOxFuse,41,LogLoss,0.2558600019731716
AnOxFuse,42,AUC,0.9217375882029762
AnOxFuse,42,AUPRC,0.9142748984257941
AnOxFuse,42,ACC,0.8635561782483689
AnOxFuse,42,F1,0.8564196147818617
AnOxFuse,42,Precision,0.8738207755357188
AnOxFuse,42,Recall,0.8396979714035355
AnOxFuse,42,MCC,0.7270578329886869
AnOxFuse,42,Brier,0.10631400379629839
AnOxFuse,42,LogLoss,0.3753373758431845
AnOxFuse,43,AUC,0.9164693270900753
AnOxFuse,43,AUPRC,0.9216792557892131
AnOxFuse,43,ACC,0.8193390739443043
AnOxFuse,43,F1,0.8213302620749878
AnOxFuse,43,Precision,0.8180048773548428
AnOxFuse,43,Recall,0.8246827941178209
AnOxFuse,43,MCC,0.6386609599025763
AnOxFuse,43,Brier,0.1284737671830788
AnOxFuse,43,LogLoss,0.3803484114848204
AnOxFuse,44,AUC,0.8220739840810801
AnOxFuse,44,AUPRC,0.827461061162383
AnOxFuse,44,ACC,0.7491800054097076
AnOxFuse,44,F1,0.7444263838826582
AnOxFuse,44,Precision,0.7946259446362849
AnOxFuse,44,Recall,0.7001925424018987
AnOxFuse,44,MCC,0.5039707947126093
AnOxFuse,44,Brier,0.194604829209545
AnOxFuse,44,LogLoss,0.6741268735055351
AnOxFuse,45,AUC,0.9144457964577335
AnOxFuse,45,AUPRC,0.9367453163302848
AnOxFuse,45,ACC,0.8405926133809507
AnOxFuse,45,F1,0.8441898798872849
AnOxFuse,45,Precision,0.9237333470583216
AnOxFuse,45,Recall,0.7772594086110052
AnOxFuse,45,MCC,0.6941772310308099
AnOxFuse,45,Brier,0.13058116963668792
AnOxFuse,45,LogLoss,0.4436358287698314
AnOxFuse,46,AUC,0.9493789089646353
AnOxFuse,46,AUPRC,0.9417391094371448
AnOxFuse,46,ACC,0.8954353069127733
AnOxFuse,46,F1,0.8907450596384264
AnOxFuse,46,Precision,0.9002097003686276
AnOxFuse,46,Recall,0.8814773672447993
AnOxFuse,46,MCC,0.7906664326989729
AnOxFuse,46,Brier,0.08710034852945527
AnOxFuse,46,LogLoss,0.29490845465704624
AnOxFuse,47,AUC,0.9124804429232563
AnOxFuse,47,AUPRC,0.912551934910012
